EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.15,78.8%,10.6%,TB,DAL,4.5,2021,1
1.06,71.3%,4.2%,BUF,PIT,4.0,2021,1
1.04,76.4%,21.8%,LAR,CHI,2.5,2021,1
1.04,78.2%,27.6%,SF,DET,3.0,2021,1
1.01,67.8%,4.5%,KC,CLE,5.0,2021,1
0.94,62.2%,1.4%,ATL,PHI,0.5,2021,1
0.94,62.8%,2.6%,GB,NO,2.0,2021,1
0.94,62.2%,1.8%,BAL,LV,3.0,2021,1
0.93,61.8%,1.0%,NE,MIA,1.5,2021,1
0.92,61.5%,3.6%,JAX,HOU,0.5,2021,1
0.89,59.5%,2.1%,SEA,IND,2.0,2021,1
0.89,62.4%,10.0%,CAR,NYJ,0.5,2021,1
0.87,58.1%,2.7%,MIN,CIN,1.0,2021,1
0.86,57.0%,1.5%,DEN,NYG,2.0,2021,1
0.86,57.0%,1.4%,TEN,ARI,2.0,2021,1
0.84,54.8%,0.4%,WAS,LAC,0.5,2021,1
0.69,45.2%,0.7%,LAC,WAS,1.5,2021,1
0.66,43.0%,0.1%,ARI,TEN,1.5,2021,1
0.66,43.0%,0.3%,NYG,DEN,0.5,2021,1
0.65,41.9%,0.1%,CIN,MIN,0.0,2021,1
0.64,37.6%,0.1%,NYJ,CAR,0.0,2021,1
0.63,40.5%,0.0%,IND,SEA,2.5,2021,1
0.61,38.5%,0.3%,HOU,JAX,0.0,2021,1
0.59,38.2%,0.2%,MIA,NE,2.0,2021,1
0.58,37.8%,0.2%,LV,BAL,0.5,2021,1
0.58,37.2%,0.0%,NO,GB,1.5,2021,1
0.58,37.8%,0.3%,PHI,ATL,0.0,2021,1
0.52,32.2%,0.0%,CLE,KC,3.0,2021,1
0.48,21.8%,0.1%,DET,SF,0.0,2021,1
0.48,23.6%,0.0%,CHI,LAR,0.5,2021,1
0.46,28.7%,0.1%,PIT,BUF,1.5,2021,1
0.37,21.2%,0.1%,DAL,TB,2.0,2021,1
1.09,85.4%,19.7%,TB,ATL,4.5,2021,2
1.04,85.5%,33.3%,CLE,HOU,2.5,2021,2
1.03,80.7%,16.1%,GB,DET,2.0,2021,2
0.96,71.7%,3.2%,SEA,TEN,2.5,2021,2
0.91,69.8%,6.9%,DEN,JAX,2.0,2021,2
0.91,68.1%,2.4%,PIT,LV,1.5,2021,2
0.90,68.5%,6.9%,NE,NYJ,1.5,2021,2
0.87,65.2%,1.9%,LAR,IND,2.5,2021,2
0.87,64.7%,1.6%,WAS,NYG,0.0,2021,2
0.85,63.2%,1.4%,BUF,MIA,4.0,2021,2
0.85,63.5%,2.7%,ARI,MIN,2.0,2021,2
0.84,62.2%,0.6%,KC,BAL,5.0,2021,2
0.81,59.9%,0.3%,LAC,DAL,1.5,2021,2
0.78,57.6%,1.0%,NO,CAR,2.0,2021,2
0.77,57.2%,0.4%,SF,PHI,3.0,2021,2
0.73,53.6%,0.4%,CHI,CIN,0.5,2021,2
0.63,46.4%,0.4%,CIN,CHI,0.5,2021,2
0.58,42.8%,0.1%,PHI,SF,0.5,2021,2
0.58,42.4%,0.0%,CAR,NO,1.0,2021,2
0.54,40.1%,0.3%,DAL,LAC,2.0,2021,2
0.51,37.8%,0.0%,BAL,KC,3.0,2021,2
0.51,36.5%,0.0%,MIN,ARI,1.0,2021,2
0.51,36.8%,0.0%,MIA,BUF,2.5,2021,2
0.48,35.3%,0.2%,NYG,WAS,0.5,2021,2
0.48,34.8%,0.0%,IND,LAR,2.5,2021,2
0.46,31.5%,0.0%,NYJ,NE,0.0,2021,2
0.44,31.9%,0.0%,LV,PIT,1.0,2021,2
0.44,30.2%,0.0%,JAX,DEN,0.0,2021,2
0.40,28.3%,0.0%,TEN,SEA,2.0,2021,2
0.32,19.3%,0.0%,DET,GB,0.0,2021,2
0.31,14.5%,0.1%,HOU,CLE,0.0,2021,2
0.26,14.6%,0.0%,ATL,TB,1.0,2021,2
