team,net_delta,inbound_value,outbound_value,offense_delta,defense_delta,coaching_delta,inbound_moves,outbound_moves,num_moves
NYJ,8.85,10.71,1.86,3.03,5.82,0.0,37,35,72
CLE,6.63,9.72,3.09,4.45,2.18,0.0,39,24,63
DAL,5.33,5.8,0.47,0.13,5.2,0.0,36,24,60
TEN,4.85,6.56,1.71,1.13,3.72,0.0,51,32,83
BAL,4.43,9.44,5.01,1.57,-0.14,3.0,33,21,54
NE,4.3,9.08,4.78,3.18,1.12,0.0,40,36,76
CAR,4.13,5.87,1.74,1.64,2.49,0.0,35,19,54
WAS,3.29,5.24,1.95,-0.51,3.8,0.0,34,17,51
HOU,3.15,5.43,2.28,1.82,1.33,0.0,39,28,67
TB,2.81,4.09,1.28,0.29,2.52,0.0,24,17,41
CIN,2.62,3.08,0.46,0.19,2.43,0.0,19,15,34
PIT,2.47,2.83,0.36,2.08,0.39,0.0,33,23,56
NYG,2.43,7.85,5.42,-0.49,1.92,1.0,35,36,71
LA,2.12,4.38,2.26,1.72,0.4,0.0,17,18,35
NO,1.95,4.58,2.63,2.85,-0.9,0.0,32,24,56
LV,1.94,4.96,3.02,0.75,1.19,0.0,39,23,62
KC,1.66,3.4,1.74,0.08,1.58,0.0,27,27,54
SF,1.58,2.81,1.23,0.82,0.76,0.0,31,22,53
MIN,1.19,2.4,1.21,0.46,0.73,0.0,28,21,49
ARI,0.77,4.36,3.59,2.39,-1.62,0.0,33,28,61
JAX,0.71,2.16,1.45,1.62,-0.91,0.0,28,22,50
DEN,0.69,0.69,0.0,0.33,0.36,0.0,13,20,33
DET,-0.41,3.67,4.08,-0.15,-0.26,0.0,38,22,60
PHI,-0.42,2.91,3.33,-0.22,-0.2,0.0,39,27,66
SEA,-1.06,1.38,2.44,0.82,-1.88,0.0,20,10,30
ATL,-1.12,1.42,2.54,-0.64,-0.48,0.0,40,42,82
GB,-1.57,3.4,4.97,-3.87,2.3,0.0,25,26,51
LAC,-1.93,3.48,5.41,0.01,1.06,-3.0,24,20,44
CHI,-2.29,5.07,7.36,1.81,-2.1,-2.0,34,30,64
BUF,-2.92,3.3,6.22,0.03,1.05,-4.0,34,23,57
IND,-2.95,1.76,4.71,0.14,-3.09,0.0,24,29,53
MIA,-3.45,3.52,6.97,0.5,-3.95,0.0,57,36,93
