team,net_delta,inbound_value,outbound_value,offense_delta,defense_delta,coaching_delta,inbound_moves,outbound_moves,num_moves
NYJ,8.85,10.71,1.86,3.03,5.82,0.0,38,37,75
CLE,6.63,9.72,3.09,4.45,2.18,0.0,42,26,68
DAL,5.33,5.8,0.47,0.13,5.2,0.0,37,25,62
TEN,4.85,6.56,1.71,1.13,3.72,0.0,51,33,84
BAL,4.43,9.44,5.01,1.57,-0.14,3.0,34,21,55
NE,4.3,9.08,4.78,3.18,1.12,0.0,41,37,78
CAR,4.13,5.87,1.74,1.64,2.49,0.0,35,20,55
WAS,3.29,5.24,1.95,-0.51,3.8,0.0,36,18,54
HOU,3.15,5.43,2.28,1.82,1.33,0.0,41,28,69
TB,2.81,4.09,1.28,0.29,2.52,0.0,24,18,42
CIN,2.62,3.08,0.46,0.19,2.43,0.0,19,18,37
PIT,2.47,2.83,0.36,2.08,0.39,0.0,33,25,58
NYG,2.43,7.85,5.42,-0.49,1.92,1.0,37,38,75
LA,2.12,4.38,2.26,1.72,0.4,0.0,17,18,35
NO,1.95,4.58,2.63,2.85,-0.9,0.0,33,26,59
LV,1.94,4.96,3.02,0.75,1.19,0.0,39,23,62
KC,1.66,3.4,1.74,0.08,1.58,0.0,27,26,53
SF,1.58,2.81,1.23,0.82,0.76,0.0,33,22,55
MIN,1.19,2.4,1.21,0.46,0.73,0.0,29,21,50
ARI,0.77,4.36,3.59,2.39,-1.62,0.0,35,31,66
JAX,0.71,2.16,1.45,1.62,-0.91,0.0,29,22,51
DEN,0.69,0.69,0.0,0.33,0.36,0.0,13,21,34
DET,-0.41,3.67,4.08,-0.15,-0.26,0.0,38,23,61
PHI,-0.42,2.91,3.33,-0.22,-0.2,0.0,40,27,67
SEA,-1.06,1.38,2.44,0.82,-1.88,0.0,20,10,30
ATL,-1.12,1.42,2.54,-0.64,-0.48,0.0,42,42,84
GB,-1.57,3.4,4.97,-3.87,2.3,0.0,27,26,53
LAC,-1.93,3.48,5.41,0.01,1.06,-3.0,25,21,46
CHI,-2.29,5.07,7.36,1.81,-2.1,-2.0,34,30,64
BUF,-2.92,3.3,6.22,0.03,1.05,-4.0,33,23,56
IND,-2.95,1.76,4.71,0.14,-3.09,0.0,24,30,54
MIA,-3.45,3.52,6.97,0.5,-3.95,0.0,58,37,95
