type,player,position,from_team,to_team,value,epa,season,date,description
Free Agent Signing,Johnny Hekker,P,TEN,MIN,0.0,0.0,2026,,Johnny Hekker TEN→MIN
Free Agent Signing,Tyrod Taylor,QB,NYJ,GB,0.0,-7.9,2026,,Tyrod Taylor NYJ→GB
Free Agent Signing,Andy Dalton,QB,CAR,PHI,0.0,-14.32,2026,,Andy Dalton CAR→PHI
Free Agent Signing,Josh Johnson,QB,WAS,CIN,0.0,-0.98,2026,,Josh Johnson WAS→CIN
Free Agent Signing,Calais Campbell,DE,ARI,BAL,0.0,0.0,2026,,Calais Campbell ARI→BAL
Free Agent Signing,Nick Folk,K,NYJ,ATL,0.0,0.0,2026,,Nick Folk NYJ→ATL
Free Agent Signing,Mike Evans,WR,TB,SF,0.0,5.27,2026,,Mike Evans TB→SF
Free Agent Signing,Shelby Harris,DE,CLE,NYG,0.0,0.0,2026,,Shelby Harris CLE→NYG
Free Agent Signing,Teddy Bridgewater,QB,TB,DET,0.0,-12.52,2026,,Teddy Bridgewater TB→DET
Free Agent Signing,Casey Kreiter,LS,NYG,ARI,0.0,,2026,,Casey Kreiter NYG→ARI
Free Agent Signing,Trevor Siemian,QB,TEN,ATL,0.0,,2026,,Trevor Siemian TEN→ATL
Free Agent Signing,Ameer Abdullah,RB,IND,JAX,0.0,1.76,2026,,Ameer Abdullah IND→JAX
Free Agent Signing,Bradley Pinion,P,ATL,MIA,0.0,0.0,2026,,Bradley Pinion ATL→MIA
Free Agent Signing,Dante Fowler Jr.,DE,DAL,SEA,0.0,0.0,2026,,Dante Fowler Jr. DAL→SEA
Free Agent Signing,Rakeem Nunez-Roches,DT,NYG,TB,0.0,0.0,2026,,Rakeem Nunez-Roches NYG→TB
Free Agent Signing,Bobby Hart,OT,LAC,SEA,0.0,0.0,2026,,Bobby Hart LAC→SEA
Free Agent Signing,Michael Burton,RB,DEN,CLE,0.0,,2026,,Michael Burton DEN→CLE
Free Agent Signing,Kalif Raymond,WR,DET,CHI,0.0,16.76,2026,,Kalif Raymond DET→CHI
Free Agent Signing,Brandon Allen,QB,TEN,NYG,0.0,-24.03,2026,,Brandon Allen TEN→NYG
Free Agent Signing,DJ Reader,DT,DET,NYG,0.0,0.0,2026,,DJ Reader DET→NYG
Free Agent Signing,Miles Killebrew,SAF,PIT,TB,0.0,0.0,2026,,Miles Killebrew PIT→TB
Free Agent Signing,Austin Hooper,TE,NE,ATL,0.0,11.53,2026,,Austin Hooper NE→ATL
Free Agent Signing,Joe Cardona,LS,MIA,LA,0.0,0.0,2026,,Joe Cardona MIA→LA
Free Agent Signing,Isaac Seumalo,OL,PIT,ARI,0.0,,2026,,Isaac Seumalo PIT→ARI
Free Agent Signing,A'Shawn Robinson,DT,CAR,TB,0.0,0.0,2026,,A'Shawn Robinson CAR→TB
